evidence_link_id,joomla_article_id,article_title,source_url,normalized_url,storage_provider,storage_scope,probable_owner,access_status,file_name,file_type,category,issue,indicator_codes,mapping_status,confidence,occurrence_count,duplicate_group,ownership_risk,migration_priority,recommended_destination,last_checked_at,notes
SP-0021,45,3.3 การใช้ทรัพยากรอื่นๆ,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCTS9JC5u9ET4uEdOjFH3R_AbykRElj2a-nU5BQTV9qjTk?e=clkrfh,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCTS9JC5u9ET4uEdOjFH3R_AbykRElj2a-nU5BQTV9qjTk,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,3.3.1 มาตรการหรือแนวทางการใช้กระดาษที่เหมาะสมกับสำนักงาน,binary_document,3,3.3,3.3.2,confirmed,high,2,DUP-dfdde1,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,"Anchor text ""3.3.1 มาตรการหรือแนวทางการใช้กระดาษที่เหมาะสมกับสำนักงาน"" matches indicator pattern"
SP-0022,45,3.3 การใช้ทรัพยากรอื่นๆ,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBqUGjx_JIfTJrMSVGMrOeuARNFFnhZ4cT11_Kv9ibzjHA?e=IYM4qK,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBqUGjx_JIfTJrMSVGMrOeuARNFFnhZ4cT11_Kv9ibzjHA,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQBqUGjx_JIf,binary_document,3,3.3,3.3.1|3.3.2|3.3.3|3.3.4|3.3.5,probable,medium,2,DUP-aca492,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 3.3
SP-0023,45,3.3 การใช้ทรัพยากรอื่นๆ,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBqUGjx_JIfTJrMSVGMrOeuARNFFnhZ4cT11_Kv9ibzjHA?e=nSVCea,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBqUGjx_JIfTJrMSVGMrOeuARNFFnhZ4cT11_Kv9ibzjHA,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,3.3.3(1) การปฏิบัติตามมาตรการประหยัดกระดาษในพื้นที่ทำงาน,binary_document,3,3.3,3.3.1|3.3.2|3.3.3|3.3.4|3.3.5,probable,medium,2,DUP-aca492,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 3.3
SP-0024,45,3.3 การใช้ทรัพยากรอื่นๆ,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBKXnnuV01OR41c6vAamPXrATW141dVbEih8tuQP725MEo?e=geHfKh,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBKXnnuV01OR41c6vAamPXrATW141dVbEih8tuQP725MEo,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,AUTHENTICATED_REACHABLE,sharepoint_item_IQBKXnnuV01O,binary_document,3,3.3,3.3.1|3.3.2|3.3.3|3.3.4|3.3.5,probable,medium,2,DUP-0f3745,high,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 3.3
SP-0025,45,3.3 การใช้ทรัพยากรอื่นๆ,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBKXnnuV01OR41c6vAamPXrATW141dVbEih8tuQP725MEo?e=PQUIKv,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBKXnnuV01OR41c6vAamPXrATW141dVbEih8tuQP725MEo,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,AUTHENTICATED_REACHABLE,3.3.4 มาตรการหรือแนวทางการใช้หมึกพิมพ์ฯ,binary_document,3,3.3,3.3.1|3.3.2|3.3.3|3.3.4|3.3.5,probable,medium,2,DUP-0f3745,high,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 3.3
SP-0026,45,3.3 การใช้ทรัพยากรอื่นๆ,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCo1Ls9MkuNSI0yScB3Rbz3AUWDkcb8xD6qUxPMu2syl98?e=V7OdG7,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCo1Ls9MkuNSI0yScB3Rbz3AUWDkcb8xD6qUxPMu2syl98,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,AUTHENTICATED_REACHABLE,sharepoint_item_IQCo1Ls9MkuN,binary_document,3,3.3,3.3.1|3.3.2|3.3.3|3.3.4|3.3.5,probable,medium,2,DUP-a9a95c,high,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 3.3
SP-0027,45,3.3 การใช้ทรัพยากรอื่นๆ,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCo1Ls9MkuNSI0yScB3Rbz3AUWDkcb8xD6qUxPMu2syl98?e=oWegYT,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCo1Ls9MkuNSI0yScB3Rbz3AUWDkcb8xD6qUxPMu2syl98,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,AUTHENTICATED_REACHABLE,3.3.5(1) มาตรการประหยัดการใช้หมึกพิมพ์ อุปกรณ์เครื่องเขียน วัสดุอุปกรณ์สำนักงาน,binary_document,3,3.3,3.3.1|3.3.2|3.3.3|3.3.4|3.3.5,probable,medium,2,DUP-a9a95c,high,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 3.3
SP-0028,48,4.2 การจัดการน้ำเสีย,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAu_TXwiCxdTrYtKV6bR968AbCwpXVAvjRQkbWXsLopkyE?e=ng8xBy,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAu_TXwiCxdTrYtKV6bR968AbCwpXVAvjRQkbWXsLopkyE,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQAu_TXwiCxd,binary_document,4,4.2,4.2.1|4.2.2,probable,medium,2,DUP-73f68c,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 4.2
SP-0029,48,4.2 การจัดการน้ำเสีย,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAu_TXwiCxdTrYtKV6bR968AbCwpXVAvjRQkbWXsLopkyE?e=AAlk2t,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAu_TXwiCxdTrYtKV6bR968AbCwpXVAvjRQkbWXsLopkyE,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQAu_TXwiCxd,binary_document,4,4.2,4.2.1|4.2.2,probable,medium,2,DUP-73f68c,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 4.2
SP-0030,49,5.1 อากาศในสำนักงาน,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQD2v14GtNldRrH9OsHaj10BAVUvY6einadAvxseNJRXhwI?e=CJ4H7G,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQD2v14GtNldRrH9OsHaj10BAVUvY6einadAvxseNJRXhwI,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQD2v14GtNld,binary_document,5,5.1,5.1.1|5.1.2,probable,medium,2,DUP-e5fa06,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 5.1
