evidence_link_id,joomla_article_id,article_title,source_url,normalized_url,storage_provider,storage_scope,probable_owner,access_status,file_name,file_type,category,issue,indicator_codes,mapping_status,confidence,occurrence_count,duplicate_group,ownership_risk,migration_priority,recommended_destination,last_checked_at,notes,pilot_bucket,pilot_reason
SP-0035,32,หมวดที่ 7 — การดำเนินงานสำนักงานสีเขียวเพื่อความต่อเนื่อง,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCA8FNqsA3VTp7Yao-2ynkhAYhIPcQVureMkRFms6j_LjU?e=dk2Ibk,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCA8FNqsA3VTp7Yao-2ynkhAYhIPcQVureMkRFms6j_LjU,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,หมวดที่ 7 — การดำเนินงานสำนักงานสีเขียวเพื่อความต่อเนื่อง,binary_document,7,,,needs_review,low,1,,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Category header page — indicator mapping requires link-level context,unresolved_mapping,unresolved_mapping
SP-0058,43,3.1 การใช้น้ำ,https://maejo365-my.sharepoint.com/:x:/g/personal/prinya_mju_ac_th/Ed9yefosFCFPh1H_0I0Mb0gBs07imx2AywWkmGDK3ZxkxQ?e=XJIRFa,https://maejo365-my.sharepoint.com/:x:/g/personal/prinya_mju_ac_th/Ed9yefosFCFPh1H_0I0Mb0gBs07imx2AywWkmGDK3ZxkxQ,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,3.1.(1) ข้อมูลปริมาณการใช้น้ำและวิเคราะห์ผล .xlsx,spreadsheet,3,3.1,3.1.2,confirmed,high,1,,critical,P0_CRITICAL,dashboard_data_pipeline,2026-07-20T13:49:13.092364+07:00,"Anchor text ""3.1.(1) ข้อมูลปริมาณการใช้น้ำและวิเคราะห์ผล .xlsx"" matches indicator pattern",water,2569_water
SP-0062,44,3.2 การใช้พลังงาน,https://maejo365-my.sharepoint.com/:x:/g/personal/prinya_mju_ac_th/EQ1j2DbbdF9IkToyjdQL_QUBL6Lp80U6wlInRdYFcxeTEw?e=ueSGPL,https://maejo365-my.sharepoint.com/:x:/g/personal/prinya_mju_ac_th/EQ1j2DbbdF9IkToyjdQL_QUBL6Lp80U6wlInRdYFcxeTEw,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,3.2.2(1) ข้อมูลการใช้ไฟฟ้าต่อหน่วยเปรียบเทียบกับเป้าหมาย และวิเคราะห์ผล .xlsx,spreadsheet,3,3.2,3.2.2,confirmed,high,1,,critical,P0_CRITICAL,dashboard_data_pipeline,2026-07-20T13:49:13.092364+07:00,"Anchor text ""3.2.2(1) ข้อมูลการใช้ไฟฟ้าต่อหน่วยเปรียบเทียบกับเป้าหมาย และ"" matches indicator pattern",energy,2569_energy
SP-0063,44,3.2 การใช้พลังงาน,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCiFsghTHAXRqyFPKs1YR6ZAZTZfQjbkxyThTalLJySJ7E?e=CDMDQq,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCiFsghTHAXRqyFPKs1YR6ZAZTZfQjbkxyThTalLJySJ7E,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,3.2.4(2) รายงานการใช้รถยนต์,binary_document,3,3.2,3.2.1|3.2.2|3.2.3|3.2.4|3.2.5,probable,medium,1,,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 3.2,fuel,2569_fuel
SP-0066,45,3.3 การใช้ทรัพยากรอื่นๆ,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBzhX99A4zIQ7ZDwSij2bB1AaxPEp9t1VVfc21ReIdREtY?e=EuEbaf,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBzhX99A4zIQ7ZDwSij2bB1AaxPEp9t1VVfc21ReIdREtY,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQBzhX99A4zI,binary_document,3,3.3,3.3.1|3.3.2|3.3.3|3.3.4|3.3.5,probable,medium,1,,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 3.3,paper,2569_paper
SP-0048,37,1.5 ข้อมูลก๊าซเรือนกระจก,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAbwr0kbFPGS5MAHjLoOXUbAU_VUdP_4MwMj4M125xys4Q?e=nZETeR,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAbwr0kbFPGS5MAHjLoOXUbAU_VUdP_4MwMj4M125xys4Q,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQAbwr0kbFPG,binary_document,1,1.5,1.5.1|1.5.2|1.5.3,probable,medium,1,,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 1.5,ghg,2569_ghg
SP-0069,47,4.1 การจัดการขยะ,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDpbzu0scr6TbnDPvpKVyU0AXSuqCuApafOqFnNTI5gKHQ?e=rIWUcO,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDpbzu0scr6TbnDPvpKVyU0AXSuqCuApafOqFnNTI5gKHQ,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQDpbzu0scr6,binary_document,4,4.1,4.1.1|4.1.2|4.1.3,probable,medium,1,,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 4.1,waste,2569_waste
SP-0010,39,1.7 การทบทวนฝ่ายบริหาร,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCjAOcIrTVoSY8zdgqQJSB5AR884SGk-5-WlTVPEsoDk-s?e=6alT85,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCjAOcIrTVoSY8zdgqQJSB5AR884SGk-5-WlTVPEsoDk-s,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQCjAOcIrTVo,binary_document,1,1.7,1.7.1|1.7.2,probable,medium,2,DUP-ad67e4,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 1.7,access_denied,access_denied_sample
SP-0012,39,1.7 การทบทวนฝ่ายบริหาร,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBsovJYQs-MS6lF6gShrm0FAfHS1cjp5qpudNy638RvhDw?e=SDrfZb,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBsovJYQs-MS6lF6gShrm0FAfHS1cjp5qpudNy638RvhDw,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQBsovJYQs-M,binary_document,1,1.7,1.7.1|1.7.2,probable,medium,2,DUP-5d09fd,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 1.7,access_denied,access_denied_sample
SP-0018,44,3.2 การใช้พลังงาน,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCFTwbSPA_xTquyVcbjBp9bAaEOOnOmbiXR96CMTdgRZnk?e=8QRb1e,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCFTwbSPA_xTquyVcbjBp9bAaEOOnOmbiXR96CMTdgRZnk,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,3.2.4(1) มาตรการหรือแนวทางการใช้น้ำมันเชื้อเพลิงในการเดินทาง,binary_document,3,3.2,3.1.1,probable,medium,2,DUP-48be0d,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,"Anchor text ""3.2.4(1) มาตรการหรือแนวทางการใช้น้ำมันเชื้อเพลิงในการเดินทาง"" matches indicator pattern",access_denied,access_denied_sample
