relative_path,filename,extension,file_type,risk_classification,recommended_exclusion,size_bytes
administrator/components/com_sppagebuilder/sql/updates/postgresql/2.0-2016-11-04.sql,2.0-2016-11-04.sql,sql,database_dump,database_dump,exclude,1477
administrator/components/com_sppagebuilder/sql/updates/postgresql/3.1-2018-01-01.sql,3.1-2018-01-01.sql,sql,database_dump,database_dump,exclude,314
administrator/components/com_sppagebuilder/sql/updates/postgresql/2.4.7-2017-05-31.sql,2.4.7-2017-05-31.sql,sql,database_dump,database_dump,exclude,395
administrator/components/com_sppagebuilder/sql/updates/postgresql/1.0.8-2016-01-20.sql,1.0.8-2016-01-20.sql,sql,database_dump,database_dump,exclude,80
administrator/components/com_sppagebuilder/sql/updates/postgresql/2.4.8-2017-06-22.sql,2.4.8-2017-06-22.sql,sql,database_dump,database_dump,exclude,86
administrator/components/com_sppagebuilder/sql/updates/postgresql/3.0-2017-11-13.sql,3.0-2017-11-13.sql,sql,database_dump,database_dump,exclude,338
administrator/components/com_sppagebuilder/sql/updates/postgresql/1.0.7-2015-10-12.sql,1.0.7-2015-10-12.sql,sql,database_dump,database_dump,exclude,911
administrator/components/com_spsimpleportfolio/sql/install/mysql/install.sql,install.sql,sql,database_dump,database_dump,exclude,1103
administrator/components/com_spsimpleportfolio/sql/install/postgresql/install.sql,install.sql,sql,database_dump,database_dump,exclude,935
administrator/components/com_spsimpleportfolio/sql/updates/mysql/2.0.6.sql,2.0.6.sql,sql,database_dump,database_dump,exclude,0
administrator/components/com_spsimpleportfolio/sql/updates/mysql/2.2.0.sql,2.2.0.sql,sql,database_dump,database_dump,exclude,8
administrator/components/com_spsimpleportfolio/sql/updates/mysql/2.0.7.sql,2.0.7.sql,sql,database_dump,database_dump,exclude,0
administrator/components/com_spsimpleportfolio/sql/updates/mysql/2.0.4.sql,2.0.4.sql,sql,database_dump,database_dump,exclude,0
administrator/components/com_spsimpleportfolio/sql/updates/mysql/2.0.8.sql,2.0.8.sql,sql,database_dump,database_dump,exclude,167
administrator/components/com_spsimpleportfolio/sql/updates/mysql/1.2-2015-02-10.sql,1.2-2015-02-10.sql,sql,database_dump,database_dump,exclude,86
administrator/components/com_spsimpleportfolio/sql/updates/mysql/1.5-2017-14-09.sql,1.5-2017-14-09.sql,sql,database_dump,database_dump,exclude,96
administrator/components/com_spsimpleportfolio/sql/updates/mysql/2.1.0.sql,2.1.0.sql,sql,database_dump,database_dump,exclude,9
administrator/components/com_spsimpleportfolio/sql/updates/mysql/2.0.5.sql,2.0.5.sql,sql,database_dump,database_dump,exclude,0
administrator/components/com_spsimpleportfolio/sql/updates/mysql/1.8-2020-21-01.sql,1.8-2020-21-01.sql,sql,database_dump,database_dump,exclude,176
administrator/components/com_spsimpleportfolio/sql/updates/mysql/1.4-2017-05-03.sql,1.4-2017-05-03.sql,sql,database_dump,database_dump,exclude,946
administrator/components/com_spsimpleportfolio/sql/updates/mysql/1.1-2015-23-04.sql,1.1-2015-23-04.sql,sql,database_dump,database_dump,exclude,211
administrator/components/com_spsimpleportfolio/sql/updates/postgresql/2.0.6.sql,2.0.6.sql,sql,database_dump,database_dump,exclude,0
administrator/components/com_spsimpleportfolio/sql/updates/postgresql/2.2.0.sql,2.2.0.sql,sql,database_dump,database_dump,exclude,8
administrator/components/com_spsimpleportfolio/sql/updates/postgresql/2.0.7.sql,2.0.7.sql,sql,database_dump,database_dump,exclude,0
administrator/components/com_spsimpleportfolio/sql/updates/postgresql/2.0.4.sql,2.0.4.sql,sql,database_dump,database_dump,exclude,0
administrator/components/com_spsimpleportfolio/sql/updates/postgresql/2.0.8.sql,2.0.8.sql,sql,database_dump,database_dump,exclude,198
administrator/components/com_spsimpleportfolio/sql/updates/postgresql/2.0.5.sql,2.0.5.sql,sql,database_dump,database_dump,exclude,0
administrator/components/com_speasyimagegallery/sql/uninstall.mysql.utf8.sql,uninstall.mysql.utf8.sql,sql,database_dump,database_dump,exclude,0
administrator/components/com_speasyimagegallery/sql/install.mysql.utf8.sql,install.mysql.utf8.sql,sql,database_dump,database_dump,exclude,2597
